f_index,Faculty,key,Year,Full Authors List,published_name,Author Contribution Index,Other Authors
28,Siew Kei Lam,journals/cj/WuCWJLS18,2018,"['Jigang Wu', 'Long Chen 0006', 'Xu Wang', 'Guiyuan Jiang', 'Thambipillai Srikanthan']",Siew-Kei Lam,5,"['Jigang Wu', 'Long Chen 0006', 'Xu Wang', 'Guiyuan Jiang', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/fgcs/ZhuWJCL18,2018,"['Longting Zhu', 'Jigang Wu', 'Guiyuan Jiang', 'Long Chen 0006']",Siew-Kei Lam,5,"['Longting Zhu', 'Jigang Wu', 'Guiyuan Jiang', 'Long Chen 0006']"
28,Siew Kei Lam,journals/tcas/LamLWCJ18,2018,"['Teck Chuan Lim', 'Meiqing Wu', 'Bin Cao', 'Bhavan A. Jasani']",Siew-Kei Lam,1,"['Teck Chuan Lim', 'Meiqing Wu', 'Bin Cao', 'Bhavan A. Jasani']"
28,Siew Kei Lam,journals/tcsv/JasaniLMW18,2018,"['Bhavan A. Jasani', 'Pramod Kumar Meher', 'Meiqing Wu']",Siew-Kei Lam,2,"['Bhavan A. Jasani', 'Pramod Kumar Meher', 'Meiqing Wu']"
28,Siew Kei Lam,journals/tvlsi/PrakashCLS18,2018,"['Alok Prakash', 'Christopher T. Clarke', 'Thambipillai Srikanthan']",Siew-Kei Lam,3,"['Alok Prakash', 'Christopher T. Clarke', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/corr/abs-1804-01512,2018,"['Gangqiang Zhou', 'Jigang Wu', 'Long Chen 0006', 'Guiyuan Jiang']",Siew-Kei Lam,5,"['Gangqiang Zhou', 'Jigang Wu', 'Long Chen 0006', 'Guiyuan Jiang']"
28,Siew Kei Lam,journals/corr/abs-1809-01221,2018,"['Thinh Hung Pham', 'Alexander Fell', 'Arnab Kumar Biswas', 'Nandeesha Veeranna']",Siew-Kei Lam,4,"['Thinh Hung Pham', 'Alexander Fell', 'Arnab Kumar Biswas', 'Nandeesha Veeranna']"
28,Siew Kei Lam,journals/iacr/OuZL18,2018,"['Changhai Ou', 'Xinping Zhou']",Siew-Kei Lam,3,"['Changhai Ou', 'Xinping Zhou']"
28,Siew Kei Lam,journals/iacr/OuZL18a,2018,"['Changhai Ou', 'Chengju Zhou']",Siew-Kei Lam,3,"['Changhai Ou', 'Chengju Zhou']"
28,Siew Kei Lam,journals/tits/WuLS17,2017,"['Meiqing Wu', 'Thambipillai Srikanthan']",Siew-Kei Lam,2,"['Meiqing Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/ton/JiangLSTW17,2017,"['Guiyuan Jiang', 'Yidan Sun', 'Lijia Tu', 'Jigang Wu']",Siew-Kei Lam,2,"['Guiyuan Jiang', 'Yidan Sun', 'Lijia Tu', 'Jigang Wu']"
28,Siew Kei Lam,journals/cee/ShiWLS16,2016,"['Wenjun Shi', 'Jigang Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Wenjun Shi', 'Jigang Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/jrtip/RamakrishnanWLS16,2016,"['Nirmala Ramakrishnan', 'Meiqing Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Nirmala Ramakrishnan', 'Meiqing Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/tits/WuLS15,2015,"['Meiqing Wu', 'Thambipillai Srikanthan']",Siew Kei Lam,2,"['Meiqing Wu', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/tjs/JiangWLSS15,2015,"['Guiyuan Jiang', 'Jigang Wu', 'Thambipillai Srikanthan', 'Jizhou Sun']",Siew Kei Lam,3,"['Guiyuan Jiang', 'Jigang Wu', 'Thambipillai Srikanthan', 'Jizhou Sun']"
28,Siew Kei Lam,journals/jolpe/AungLS14,2014,"['Yan Lin Aung', 'Thambipillai Srikanthan']",Siew Kei Lam,2,"['Yan Lin Aung', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/tecs/LamSC14,2014,"['Thambipillai Srikanthan', 'Christopher T. Clarke']",Siew Kei Lam,1,"['Thambipillai Srikanthan', 'Christopher T. Clarke']"
28,Siew Kei Lam,journals/tjs/WuJSLSS14,2014,"['Jigang Wu', 'Guiyuan Jiang', 'Yuze Shen', 'Jizhou Sun', 'Thambipillai Srikanthan']",Siew Kei Lam,4,"['Jigang Wu', 'Guiyuan Jiang', 'Yuze Shen', 'Jizhou Sun', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/trets/LamCS14,2014,"['Christopher T. Clarke', 'Thambipillai Srikanthan']",Siew Kei Lam,1,"['Christopher T. Clarke', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/jcp/LiuLSY13,2013,"['Bo Liu', 'Thambipillai Srikanthan', 'Weiqi Yuan']",Siew Kei Lam,2,"['Bo Liu', 'Thambipillai Srikanthan', 'Weiqi Yuan']"
28,Siew Kei Lam,journals/mam/PrakashLCS13,2013,"['Alok Prakash', 'Christopher T. Clarke', 'Thambipillai Srikanthan']",Siew Kei Lam,2,"['Alok Prakash', 'Christopher T. Clarke', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/tjs/WuWLS13,2013,"['Jigang Wu', 'Pu Wang', 'Thambipillai Srikanthan']",Siew Kei Lam,3,"['Jigang Wu', 'Pu Wang', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/ijprai/LiuLSY12,2012,"['Bo Liu', 'Thambipillai Srikanthan', 'Weiqi Yuan']",Siew Kei Lam,2,"['Bo Liu', 'Thambipillai Srikanthan', 'Weiqi Yuan']"
28,Siew Kei Lam,journals/tc/LamSC11,2011,"['Thambipillai Srikanthan', 'Christopher T. Clarke']",Siew Kei Lam,1,"['Thambipillai Srikanthan', 'Christopher T. Clarke']"
28,Siew Kei Lam,journals/jsa/LiJLSL10,2010,"['Tao Li 0008', 'Wu Jigang', 'Thambipillai Srikanthan', 'Xicheng Lu']",Siew Kei Lam,3,"['Tao Li 0008', 'Wu Jigang', 'Thambipillai Srikanthan', 'Xicheng Lu']"
28,Siew Kei Lam,journals/ijict/LamFSJ09,2009,"['Huang Fan', 'Thambipillai Srikanthan', 'Wu Jigang']",Siew Kei Lam,1,"['Huang Fan', 'Thambipillai Srikanthan', 'Wu Jigang']"
28,Siew Kei Lam,journals/jsa/LamS09,2009,['Thambipillai Srikanthan'],Siew Kei Lam,1,['Thambipillai Srikanthan']
28,Siew Kei Lam,journals/tie/LamSC09,2009,"['Thambipillai Srikanthan', 'Christopher T. Clarke']",Siew Kei Lam,1,"['Thambipillai Srikanthan', 'Christopher T. Clarke']"
28,Siew Kei Lam,journals/scpe/ChuongLS07,2007,"['Lieu My Chuong', 'Thambipillai Srikanthan']",Siew Kei Lam,2,"['Lieu My Chuong', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/ijhr/LimLTS06,2006,"['C. S. Lim', 'Hui Tian', 'Thambipillai Srikanthan']",Siew Kei Lam,2,"['C. S. Lim', 'Hui Tian', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/mam/LamSC06,2006,"['Thambipillai Srikanthan', 'Christopher T. Clarke']",Siew Kei Lam,1,"['Thambipillai Srikanthan', 'Christopher T. Clarke']"
28,Siew Kei Lam,journals/ras/LamSS05,2005,"['K. Sridharan 0001', 'Thambipillai Srikanthan']",Siew Kei Lam,1,"['K. Sridharan 0001', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/tc/SrikanthanLS04,2004,"['Thambipillai Srikanthan', 'Mishra Suman']",Siew Kei Lam,2,"['Thambipillai Srikanthan', 'Mishra Suman']"
28,Siew Kei Lam,journals/tie/LamSS04,2004,"['K. Sridharan 0001', 'Thambipillai Srikanthan']",Siew Kei Lam,1,"['K. Sridharan 0001', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,journals/jirs/LamS02,2002,['Thambipillai Srikanthan'],Siew Kei Lam,1,['Thambipillai Srikanthan']
28,Siew Kei Lam,journals/mam/LamS02,2002,['Thambipillai Srikanthan'],Siew Kei Lam,1,['Thambipillai Srikanthan']
28,Siew Kei Lam,journals/jirs/LamS01,2001,['Thambipillai Srikanthan'],Siew Kei Lam,1,['Thambipillai Srikanthan']
28,Siew Kei Lam,journals/comcom/LamS00,2000,['Thambipillai Srikanthan'],Siew Kei Lam,1,['Thambipillai Srikanthan']
28,Siew Kei Lam,conf/aspdac/VigLJ21,2021,"['Saru Vig', 'Rohan Juneja']",Siew-Kei Lam,2,"['Saru Vig', 'Rohan Juneja']"
28,Siew Kei Lam,conf/date/VigJL20,2020,"['Saru Vig', 'Rohan Juneja']",Siew-Kei Lam,3,"['Saru Vig', 'Rohan Juneja']"
28,Siew Kei Lam,conf/fpl/PiyasenaTKLW20,2020,"['Duvindu Piyasena', 'Miyuru Thathsara', 'Sathursan Kanagarajah', 'Meiqing Wu']",Siew Kei Lam,4,"['Duvindu Piyasena', 'Miyuru Thathsara', 'Sathursan Kanagarajah', 'Meiqing Wu']"
28,Siew Kei Lam,conf/icdcs/SharmaRPLS20,2020,"['Kuldeep Sharma', 'Nirmala Ramakrishnan', 'Alok Prakash', 'Thambipillai Srikanthan']",Siew Kei Lam,4,"['Kuldeep Sharma', 'Nirmala Ramakrishnan', 'Alok Prakash', 'Thambipillai Srikanthan']"
28,Siew Kei Lam,conf/wacv/HaddadL20,2020,['Sirin Haddad'],Siew-Kei Lam,2,['Sirin Haddad']
28,Siew Kei Lam,conf/wacv/SinghWL20,2020,"['Gaurav Singh', 'Meiqing Wu']",Siew-Kei Lam,3,"['Gaurav Singh', 'Meiqing Wu']"
